USH1C CDH23 
EXOC2 EXOC1 
EXOC2 EXOC7 
EXOC2 EXOC3 
EXOC2 EXOC5 
EXOC2 EXOC8 
EXOC2 EXOC4 
EXOC2 EXOC6 
TRAPPC6A TRAPPC1 
TRAPPC6A TRAPPC5 
TRAPPC1 TRAPPC2 
TRAPPC1 TRAPPC5 
TRAPPC1 TRAPPC3 
TRAPPC5 TRAPPC8 
TRAPPC5 TRAPPC9 
TRAPPC5 TRAPPC2 
TRAPPC5 TRAPPC4 
TRAPPC5 TRAPPC3 
CRY1 PER2 
CRY1 CLOCK 
CRY1 ARNTL 
CRY1 PER1 
PER2 CRY2 
CLOCK CRY2 
CLOCK ARNTL 
ARNTL CRY2 
ERCC1 RAD1 
ERCC1 XPA 
ERCC1 MUS81 
ERCC1 ERCC4 
RAD1 HUS1 
RAD1 RAD9A 
RB1CC1 ATG13 
RB1CC1 ULK1 
ATG13 ULK1 
ATG13 ATG101 
ULK1 ATG101 
PSMA4 PSMB9 
PSMA4 PSMC5 
PSMA4 PSMC2 
PSMA4 PSMD11 
PSMA4 PSMD4 
PSMA4 PSMB4 
PSMA4 PSMA6 
PSMA4 PSMB1 
PSMA4 PSMC4 
PSMA4 PSMD6 
PSMA4 PSMA1 
PSMA4 PSMB7 
PSMA4 PSMC6 
PSMA4 PSMA2 
PSMA4 PSMA3 
PSMA4 PSMB2 
PSMA4 PSMD1 
PSMA4 PSMB3 
PSMA4 PSMB6 
PSMA4 PSMC3 
PSMA4 PSMD8 
PSMA4 PSMD3 
PSMA4 PSMD12 
PSMA4 PSMB10 
PSMA4 PSMD13 
PSMA4 PSMA5 
PSMA4 PSMD7 
PSMA4 PSMD14 
PSMA4 PSMB8 
PSMA4 PSMA7 
PSMA4 PSMC1 
PSMA4 PSMD2 
PSMA4 PSMB5 
PSMB9 PSMA3 
PSMB9 PSMA2 
PSMB9 PSMC1 
PSMB9 PSMA6 
PSMB9 PSMB1 
PSMB9 PSMA5 
PSMB9 PSMB4 
PSMB9 PSMB10 
PSMB9 PSMA7 
PSMB9 PSMB2 
PSMB9 PSMB3 
PSMB9 PSMA1 
PSMB9 PSMB8 
PSMC5 PSMC4 
PSMC5 PSMD8 
PSMC5 PSMA3 
PSMC5 PSMD10 
PSMC5 PSMD7 
PSMC5 PSMA2 
PSMC5 PSMB7 
PSMC5 PSMC1 
PSMC5 PSMA6 
PSMC5 PSMD11 
PSMC5 PSMB1 
PSMC5 PSMD3 
PSMC5 PSMB6 
PSMC5 PSMA5 
PSMC5 PSMB4 
PSMC5 PSMD1 
PSMC5 PSMD2 
PSMC5 PSMC2 
PSMC5 PSMD4 
PSMC5 PSMD6 
PSMC5 PSMA1 
PSMC5 PSMC6 
PSMC5 PSMB2 
PSMC5 PSMB3 
PSMC5 PSMC3 
PSMC5 PSMD12 
PSMC5 PSMD13 
PSMC5 PSMD14 
PSMC5 PSMB8 
PSMC5 PSMA7 
PSMC5 PSMB5 
PSMC2 PSMC4 
PSMC2 PSMD8 
PSMC2 PSMA3 
PSMC2 PSMD10 
PSMC2 PSMD7 
PSMC2 PSMA2 
PSMC2 PSMB7 
PSMC2 PSMC1 
PSMC2 PSMA6 
PSMC2 PSMD11 
PSMC2 PSMB1 
PSMC2 PSMD3 
PSMC2 PSMB6 
PSMC2 PSMA5 
PSMC2 PSMB4 
PSMC2 PSMD1 
PSMC2 PSMD2 
PSMC2 PSMD12 
PSMC2 PSMB5 
PSMC2 PSMD4 
PSMC2 PSMA7 
PSMC2 PSMB2 
PSMC2 PSMD14 
PSMC2 PSMD6 
PSMC2 PSMA1 
PSMC2 PSMC6 
PSMC2 PSMB3 
PSMC2 PSMC3 
PSMC2 PSMD13 
PSMD11 PSMC4 
PSMD11 PSMD8 
PSMD11 PSMA3 
PSMD11 PSMD10 
PSMD11 PSMD7 
PSMD11 PSMA2 
PSMD11 PSMB7 
PSMD11 PSMC1 
PSMD11 PSMA6 
PSMD11 PSMB2 
PSMD11 PSMD1 
PSMD11 PSMB3 
PSMD11 PSMD4 
PSMD11 PSMB4 
PSMD11 PSMB6 
PSMD11 PSMC3 
PSMD11 PSMD3 
PSMD11 PSMD12 
PSMD11 PSMD13 
PSMD11 PSMA5 
PSMD11 PSMB1 
PSMD11 PSMD6 
PSMD11 PSMD14 
PSMD11 PSMA1 
PSMD11 PSMA7 
PSMD11 PSMC6 
PSMD11 PSMD2 
PSMD11 PSMB5 
PSMD4 PSMC4 
PSMD4 PSMD8 
PSMD4 PSMA3 
PSMD4 PSMD10 
PSMD4 PSMD7 
PSMD4 PSMA2 
PSMD4 PSMB7 
PSMD4 PSMC1 
PSMD4 PSMA6 
PSMD4 PSMB1 
PSMD4 PSMD3 
PSMD4 PSMB6 
PSMD4 PSMA5 
PSMD4 PSMB4 
PSMD4 PSMD1 
PSMD4 PSMD2 
PSMD4 PSMD12 
PSMD4 PSMB5 
PSMD4 PSMB2 
PSMD4 PSMB3 
PSMD4 PSMC3 
PSMD4 PSMD13 
PSMD4 PSMD6 
PSMD4 PSMD14 
PSMD4 PSMA1 
PSMD4 PSMB8 
PSMD4 PSMA7 
PSMD4 PSMC6 
PSMB4 PSMC4 
PSMB4 PSMD8 
PSMB4 PSMA3 
PSMB4 PSMD7 
PSMB4 PSMA2 
PSMB4 PSMB7 
PSMB4 PSMC1 
PSMB4 PSMA6 
PSMB4 PSMB1 
PSMB4 PSMD3 
PSMB4 PSMB6 
PSMB4 PSMA5 
PSMB4 PSMB2 
PSMB4 PSMD1 
PSMB4 PSMB3 
PSMB4 PSMC3 
PSMB4 PSMD12 
PSMB4 PSMB10 
