CYP51A1 LSS
USH1C CDH23
RALA EXOC2
TRAPPC6A TRAPPC1
TRAPPC6A TRAPPC5
CRY1 PER2
CRY1 CLOCK
CRY1 ARNTL
CRY1 PER1
CD74 HLA-DRA
ERCC1 RAD1
ERCC1 XPA
ERCC1 MUS81
ERCC1 ERCC4
RB1CC1 ATG13
RB1CC1 ULK1
GABARAPL2 ATG7
OTC ASS1
PSMA4 PSMB9
PSMA4 PSMC5
PSMA4 PSMC2
PSMA4 PSMD11
PSMA4 PSMD4
PSMA4 PSMB4
PSMA4 PSMA6
PSMA4 PSMB1
PSMA4 PSMC4
PSMA4 USP14
PSMA4 PSMD6
PSMA4 PSMA1
PSMA4 PSMB7
PSMA4 PSMC6
PSMA4 PSMA8
PSMA4 PSMA2
PSMA4 PSMA3
PSMA4 PSMB2
PSMA4 PSMD1
PSMA4 PSMB3
PSMA4 PSMB6
PSMA4 PSMC3
PSMA4 PSMD8
PSMA4 PSMD3
PSMA4 PSMD12
PSMA4 PSMB10
PSMA4 PSMD13
PSMA4 PSMA5
PSMA4 PSMD7
PSMA4 PSMD14
PSMA4 PSMB8
PSMA4 PSMA7
PSMA4 PSMC1
PSMA4 PSMD2
PSMA4 PSMB5
MRPS10 DAP3
MRPS10 MRPS14
MRPS10 MRPS9
MRPS10 MRPS11
MRPS10 MRPL24
MRPS10 MRPL17
MRPS10 MRPS16
MRPS10 MRPS15
MRPS10 MRPS2
MRPS10 MRPS5
MRPS10 MRPL13
VAMP3 SNAP23
VAMP3 STX3
VAMP3 STX2
VAMP3 STX4
RFC2 RFC5
RFC2 RFC4
RFC2 PCNA
RFC2 RAD17
RFC2 RFC3
MRPS35 PTCD3
MRPS35 MRPS31
MRPS35 MRPS22
MRPS35 DAP3
MRPS35 MRPS23
MRPS35 MRPS9
MRPS35 MRPS15
MRPS35 MRPS2
MRPS35 MRPS5
AQR PRPF19
AQR EFTUD2
AQR PLRG1
AQR XAB2
AQR CRNKL1
PSMC4 PSMC5
PSMC4 PSMC2
PSMC4 PSMD11
PSMC4 PSMD4
PSMC4 PSMB4
PSMC4 PSMA6
PSMC4 PSMB1
PSMC4 USP14
PSMC4 PSMD6
PSMC4 PSMA1
PSMC4 PSMB7
PSMC4 PSMC6
PSMC4 PSMA8
PSMC4 PSMA2
PSMC4 PSMA3
PSMC4 PSMB2
PSMC4 PSMD1
